Pesticide compound,USGS Parameter code,Analyte ID,Reporting units,MDL (ng/L),LRL (ng/L),Lab Code,CASRN,Molecular weight,Molecular formula,Analytical use,Chemical class,Analytical method group,Pesticide group,Qualifier code,New USGS analyte,,SMILES
Metribuzin DK,68653,68653LCM60,ng/L,100,200,9031,56507-37-0,184.2,C7H12N4O2,Degradate,triazine-dione,triazine,Metribuzin,A,Yes,,CC(C)(C)C1=NNC(=O)N(N)C1=O
Molinate,65091,65091LCM60,ng/L,9,18,9030,2212-67-1,187.3,C9H17NOS,Pesticide,thiocarbamate,carbamate & thiocarbamate,Molinate,A,No,,CCSC(N1CCCCCC1)=O
Myclobutanil,66632,66632LCM60,ng/L,3,7,9030,88671-89-0,288.8,C15H17ClN4,Pesticide,conazole,fungicide,Myclobutanil,A,No,,CCCCC(Cn1cncn1)(C#N)c2ccc(Cl)cc2
"N-(3,4-Dichlorophenyl)-N-methylurea",68231,68231LCM60,ng/L,2,5,9030,3567-62-2,219.1,C8H8Cl2N2O,Degradate,urea,sulfonylurea & urea,Diuron,A,No,,CNC(=O)Nc1ccc(Cl)c(Cl)c1
Naled,68654,68654LCM60,ng/L,15,30,9030,300-76-5,380.8,C4H7Br2Cl2O4P,Pesticide,organophosphate,organophosphate,Naled,E,No,,COP(OC)(OC(C(Cl)(Br)Cl)Br)=O
Nicosulfuron,61685,61685LCM60,ng/L,7,14,9030,111991-09-4,410.4,C15H18N6O6S,Pesticide,sulfonylurea,sulfonylurea & urea,Nicosulfuron,A,No,,COc1nc(NC(NS(=O)(c2c(C(N(C)C)=O)cccn2)=O)=O)nc(OC)c1
Norflurazon,67685,67685LCM60,ng/L,2,4,9030,27314-13-2,303.7,C12H9ClF3N3O,Pesticide,pyridazinone,miscellaneous,Norflurazon,A,No,,CNC1=C(C(N(c2cc(C(F)(F)F)ccc2)N=C1)=O)Cl
Novaluron,68655,68655LCM60,ng/L,4,9,9030,116714-46-6,492.7,C17H9ClF8N2O4,Pesticide,benzoylurea,sulfonylurea & urea,Novaluron,E,Yes,,FC(OC(F)(F)F)C(F)(F)Oc1ccc(NC(=O)NC(=O)c2c(F)cccc2F)cc1Cl
O-Ethyl-O-methyl-S-propyl phosphorothioate,68597,68597LCM60,ng/L,2,5,9030,76960-87-7,198.2,C6H15O3PS,Degradate,organophosphate,organophosphate,Ethoprop,A,No,,O=P(OC)(SCCC)OCC
O-Ethyl-S-methyl-S-propyl phosphorodithioate,68657,68657LCM60,ng/L,2,4,9030,76936-72-6,214.3,C6H15O2PS2,Degradate,organophosphate,organophosphate,Ethoprop,A,Yes,,O=P(SC)(SCCC)OCC
O-Ethyl-S-propyl phosphorothioate,68658,68658LCM60,ng/L,32,64,9030,31110-62-0,184.2,C5H13O3PS,Degradate,organophosphate,organophosphate,Ethoprop,A,Yes,,O=P(O)(SCCC)OCC
Orthosulfamuron,68662,68662LCM60,ng/L,3,6,9030,213464-77-8,424.4,C16H20N6O6S,Pesticide,sulfonylurea,sulfonylurea & urea,Orthosulfamuron,A,Yes,,O=C(NS(=O)(Nc1c(C(N(C)C)=O)cccc1)=O)Nc2nc(OC)cc(OC)n2
Oryzalin,68663,68663LCM60,ng/L,5,11,9031,19044-88-3,346.4,C12H18N4O6S,Pesticide,dinitroaniline,miscellaneous,Oryzalin,A,No,,CCCN(c1c([N+]([O-])=O)cc(S(N)(=O)=O)cc1[N+]([O-])=O)CCC
Oxamyl,68664,68664LCM60,ng/L,1,2,9030,23135-22-0,219.3,C7H13N3O3S,Pesticide,carbamate,carbamate & thiocarbamate,Oxamyl,A,No,,O=C(N(C)C)/C(SC)=N\OC(NC)=O
Oxamyl oxime,68665,68665LCM60,ng/L,1,2,9030,30558-43-1,162.2,C5H10N2O2S,Degradate,carbamate degradate - oxime,carbamate & thiocarbamate,Oxamyl,A,No,,O=C(/C(SC)=N\O)N(C)C
Oxyfluorfen,65093,65093LCM60,ng/L,250,500,9030,42874-03-3,361.7,C15H11ClF3NO4,Pesticide,diphenyl ether,miscellaneous,Oxyfluorfen,E,No,,CCOc1c([N+]([O-])=O)ccc(Oc2c(Cl)cc(C(F)(F)F)cc2)c1
Paraoxon,68666,68666LCM60,ng/L,2,4,9030,311-45-5,275.2,C10H14NO6P,Degradate,organothiophosphate,organophosphate,Parathion-ethyl,A,No,,O=P(OCC)(Oc1ccc([N+]([O-])=O)cc1)OCC
Paraoxon-methyl,68648,68648LCM60,ng/L,9,19,9030,950-35-6,247.1,C8H10NO6P,Degradate,organothiophosphate,organophosphate,Parathion-methyl,A,No,,COP(OC)(Oc1ccc([N+]([O-])=O)cc1)=O
Parathion-methyl,65089,65089LCM60,ng/L,250,500,9030,298-00-0,263.2,C8H10NO5PS,Pesticide,organothiophosphate,organophosphate,Parathion-methyl,E,No,,COP(OC)(Oc1ccc([N+]([O-])=O)cc1)=S
Pendimethalin,65098,65098LCM60,ng/L,1,3,9030,40487-42-1,281.3,C13H19N3O4,Pesticide,dinitroaniline,miscellaneous,Pendimethalin,A,No,,CCC(Nc1c([N+]([O-])=O)c(C)c(C)cc1[N+]([O-])=O)CC
Phorate,68668,68668LCM60,ng/L,3,6,9030,298-02-2,260.4,C7H17O2PS3,Pesticide,organothiophosphate,organophosphate,Phorate,A,No,,CCOP(OCC)(SCSCC)=S
Phorate oxon,68669,68669LCM60,ng/L,2,4,9030,2600-69-3,244.3,C7H17O3PS2,Degradate,organothiophosphate,organophosphate,Phorate,A,No,,CCOP(OCC)(SCSCC)=O
Phorate oxon sulfone,68670,68670LCM60,ng/L,10,20,9030,2588-06-9,276.3,C7H17O5PS2,Degradate,organothiophosphate,organophosphate,Phorate,A,Yes,,CCOP(OCC)(SCS(CC)(=O)=O)=O
Phorate oxon sulfoxide,68671,68671LCM60,ng/L,3,7,9030,2588-05-8,260.3,C7H17O4PS2,Degradate,organothiophosphate,organophosphate,Phorate,A,Yes,,CCOP(OCC)(SCS(CC)=O)=O
Phorate sulfone,68672,68672LCM60,ng/L,4,9,9030,2588-04-7,292.4,C7H17O4PS3,Degradate,organothiophosphate,organophosphate,Phorate,A,No,,CCOP(OCC)(SCS(CC)(=O)=O)=S
Phorate sulfoxide,68673,68673LCM60,ng/L,2,5,9030,2588-03-6,276.4,C7H17O3PS3,Degradate,organothiophosphate,organophosphate,Phorate,A,No,,CCOP(OCC)(SCS(CC)=O)=S
Phosmet,65101,65101LCM60,ng/L,10,20,9030,732-11-6,317.3,C11H12NO4PS2,Pesticide,organothiophosphate,organophosphate,Phosmet,E,No,,COP(OC)(SCN1C(c2c(C1=O)cccc2)=O)=S
Phosmet oxon,68674,68674LCM60,ng/L,10,21,9030,3735-33-9,301.3,C11H12NO5PS,Degradate,organothiophosphate,organophosphate,Phosmet,D,No,,COP(OC)(SCN1C(c2c(C1=O)cccc2)=O)=O
Phthalazinone,68675,68675LCM60,ng/L,3,6,9030,-,161.2,C8H7N3O,Degradate,urea; Semicarbazone,sulfonylurea & urea,Diflufenzopyr,A,Yes,,OC1=NN=C(C)C2=NC=CC=C21
Piperonyl butoxide,65102,65102LCM60,ng/L,2,4,9030,51-03-6,338.4,C19H30O5,Pesticide,miscellaneous,pyrethroid & phenylpyrazine,Piperonyl butoxide,A,No,,CCCCOCCOCCOCc1c(CCC)cc2c(OCO2)c1
Profenofos,68676,68676LCM60,ng/L,1,3,9030,41198-08-7,373.6,C11H15BrClO3PS,Pesticide,organothiophosphate,organophosphate,Profenofos,A,No,,CCCSP(OCC)(Oc1c(Cl)cc(Br)cc1)=O
Prometon,67702,67702LCM60,ng/L,2,4,9030,1610-18-0,225.3,C10H19N5O,Pesticide,triazine,triazine,Prometon,A,No,,COc1nc(NC(C)C)nc(NC(C)C)n1
Prometryn,65103,65103LCM60,ng/L,1,2,9030,7287-19-6,241.4,C10H19N5S,Pesticide,triazine,triazine,Prometryn,A,No,,CSc1nc(NC(C)C)nc(NC(C)C)n1
Pronamide,67706,67706LCM60,ng/L,2,4,9030,23950-58-5,256.1,C12H11Cl2NO,Pesticide,amide,acetanilide & amide,Pronamide,A,No,,CC(C)(NC(=O)c1cc(Cl)cc(Cl)c1)C#C
Propanil,66641,66641LCM60,ng/L,5,11,9030,709-98-8,218.1,C9H9Cl2NO,Pesticide,acetanilide,acetanilide & amide,Propanil,A,No,,CCC(=O)Nc1ccc(Cl)c(Cl)c1
Propargite,68677,68677LCM60,ng/L,1,2,9030,2312-35-8,350.5,C19H26O4S,Pesticide,sulfite ester,miscellaneous,Propargite,A,No,,CC(C)(c1ccc(OC2CCCCC2OS(OCC#C)=O)cc1)C
Propazine,68678,68678LCM60,ng/L,2,4,9030,139-40-2,229.7,C9H16ClN5,Pesticide,triazine,triazine,Propazine,A,No,,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
Propiconazole,66643,66643LCM60,ng/L,3,6,9030,60207-90-1,342.2,C15H17Cl2N3O2,Pesticide,conazole,fungicide,Propiconazole,A,No,,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl
Propoxur,68679,68679LCM60,ng/L,2,4,9030,114-26-1,209.2,C11H15NO3,Pesticide,carbamate,carbamate & thiocarbamate,Propoxur,A,No,,O=C(NC)Oc1c(OC(C)C)cccc1
Prosulfuron,61687,61687LCM60,ng/L,5,10,9030,94125-34-5,419.4,C15H16F3N5O4S,Pesticide,sulfonylurea,sulfonylurea & urea,Prosulfuron,A,No,,COc1nc(NC(NS(=O)(c2c(CCC(F)(F)F)cccc2)=O)=O)nc(C)n1
Pymetrozine,68680,68680LCM60,ng/L,1,2,9030,123312-89-0,217.2,C10H11N5O,Pesticide,pyridine azomethines,miscellaneous,Pymetrozine,A,Yes,,CC1=NNC(=O)N(C1)\N=C\c2cccnc2
Pyraclostrobin,66646,66646LCM60,ng/L,1,3,9030,175013-18-0,387.8,C19H18ClN3O4,Pesticide,strobin,fungicide,Pyraclostrobin,A,No,,CON(C(=O)OC)c1ccccc1COc2ccn(n2)c3ccc(Cl)cc3
Pyridaben,68682,68682LCM60,ng/L,1,3,9030,96489-71-3,364.9,C19H25ClN2OS,Pesticide,pyridazinone,miscellaneous,Pyridaben,A,Yes,,CC(C)(C)N1N=CC(=C(Cl)C1=O)SCc2ccc(cc2)C(C)(C)C
Pyrimidinol,68505,68505LCM60,ng/L,10,20,9030,2814-20-2,152.2,C8H12N2O,Degradate,organothiophosphate,organophosphate,Diazinon,A,Yes,,Oc1cc(C)nc(C(C)C)n1
Pyriproxyfen,68683,68683LCM60,ng/L,1,3,9030,95737-68-1,321.4,C20H19NO3,Pesticide,hormone mimic,miscellaneous,Pyriproxyfen,A,Yes,,CC(COc1ccc(Oc2ccccc2)cc1)Oc3ccccn3
sec-Acetochlor-OA,68684,68684LCM60,ng/L,26,52,9031,152019-74-4,207.2,C11H13NO3,Degradate,chloroacetanilide,acetanilide & amide,Acetochlor/Metolachlor,A,Yes,,O=C(NC1=C(CC)C=CC=C1C)C(O)=O
sec-Alachlor-OA,68685,68685LCM60,ng/L,68,135,9031,-,221.3,C12H15NO3,Degradate,chloroacetanilide,acetanilide & amide,Alachlor,A,Yes,,O=C(NC1=C(CC)C=CC=C1CC)C(O)=O
Siduron,68686,68686LCM60,ng/L,2,5,9030,1982-49-6,232.3,C14H20N2O,Pesticide,urea,sulfonylurea & urea,Siduron,A,No,,CC1CCCCC1NC(=O)Nc2ccccc2
Simazine,65105,65105LCM60,ng/L,5,10,9030,122-34-9,201.7,C7H12ClN5,Pesticide,triazine,triazine,Simazine,A,No,,CCNc1nc(Cl)nc(NCC)n1
Sulfentrazone,68687,68687LCM60,ng/L,5,11,9031,122836-35-5,387.2,C11H10Cl2F2N4O3S,Pesticide,triazalone,sulfonylurea & urea,Sulfentrazone,A,Yes,,O=S(=O)(Nc2c(Cl)cc(Cl)c(N1/N=C(\N(C1=O)C(F)F)C)c2)C
Sulfometuron-methyl,68688,68688LCM60,ng/L,2,4,9030,74222-97-2,364.4,C15H16N4O5S,Pesticide,sulfonylurea,sulfonylurea & urea,Sulfometuron-methyl,A,No,,COC(c1c(S(=O)(NC(Nc2nc(C)cc(C)n2)=O)=O)cccc1)=O
Sulfosulfuron,68689,68689LCM60,ng/L,4,9,9030,141776-32-1,470.5,C16H18N6O7S2,Pesticide,sulfonylurea,sulfonylurea & urea,Sulfosulfuron,A,Yes,,CCS(=O)(C1N=C2C=CC=CN2C1S(=O)(NC(Nc3nc(OC)cc(OC)n3)=O)=O)=O
Sulfosulfuron ethyl sulfone,68690,68690LCM60,ng/L,1,3,9030,-,210.3,C9H10N2O2S,Degradate,urea,sulfonylurea & urea,Sulfosulfuron ,A,Yes,,CCS(=O)(C1=CN2C=CC=CC2=N1)=O
Tebuconazole,66649,66649LCM60,ng/L,2,5,9030,107534-96-3,307.8,C16H22ClN3O,Pesticide,conazole,fungicide,Tebuconazole ,A,No,,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn2cncn2
