Pesticide compound,USGS Parameter code,Analyte ID,Reporting units,MDL (ng/L),LRL (ng/L),Lab Code,CASRN,Molecular weight,Molecular formula,Analytical use,Chemical class,Analytical method group,Pesticide group,Qualifier code,New USGS analyte,,SMILES
Carbaryl-d7 (surrogate),90519,90519LCM60,-,-,-,9030,362049-56-7,208.3,C12H4D7NO2,Internal standard,,carbamate & thiocarbamate,Carbaryl,,na,,[2H]c1c([2H])c2c([2H])c([2H])c([2H])c(OC(NC)=O)c2c([2H])c1[2H]
Carbofuran-d3 (surrogate),90521,90521LCM60,-,-,-,9030,1007459-98-4,224.3,C12H12D3NO3,Internal standard,,carbamate & thiocarbamate,Carbofuran,,na,,[2H]C([2H])(NC(Oc1c(OC(C)(C)C2)c2ccc1)=O)[2H]
Thiobencarb-d10 (surrogate),90556,90556LCM60,-,-,-,9030,-,267.8,C12H6D10ClNOS,Internal standard,,carbamate & thiocarbamate,Thiobencarb,,na,,[2H]C([2H])(C([2H])(N(C([2H])(C([2H])([2H])[2H])[2H])C(SCc1ccc(Cl)cc1)=O)[2H])[2H]
Carbendazim-d4 (surrogate),90520,90520LCM60,-,-,-,9030,291765-95-2,195.1,C9H5D4N3O2,Internal standard,,fungicide,Carbendazim,,na,,COC(NC1=NC2=C(N1)C([2H])=C([2H])C([2H])=C2[2H])=O
Tebuconazole-d6 (surrogate),90555,90555LCM60,-,-,-,9030,-,313.9,C16H16D6ClN3O,Internal standard,,fungicide,Tebuconazole,,na,,CC(C)(C)C(O)([C@]([2H])([2H])N1N=CN=C1)[C@@]([2H])([2H])[C@@]([2H])([2H])C2=CC=C(Cl)C=C2
Diazinon-d10 (surrogate),90523,90523LCM60,-,-,-,9030,100155-47-3,314.4,C12H11D10N2O3PS,Internal standard,,organophosphate,Diazinon,,na,,S=P(OC(C([2H])([2H])[2H])([2H])[2H])(Oc1nc(C(C)C)nc(C)c1)OC(C([2H])([2H])[2H])([2H])[2H]
Malathion-d10 (diethyl-d10) (surrogate),90552,90552LCM60,-,-,-,9030,347841-48-9,340.4,C10H9D10O6PS2,Internal standard,,organophosphate,Malathion,,na,,O=C(CC(C(OC(C([2H])([2H])[2H])([2H])[2H])=O)SP(OC)(OC)=S)OC([2H])(C([2H])([2H])[2H])[2H]
3-Phenoxybenzoic acid (surrogate),90516,90516LCM60,-,-,-,9031,-,220.2,C713C6H10O3,Internal standard,,pyrethroid & phenylpyrazine,Permethrin,,na,,OC(c1cc(O[13C]2=[13CH][13CH]=[13CH][13CH]=[13CH]2)ccc1)=O
cis-Permethrin-13C6 (surrogate),90558,90558LCM60,-,-,-,9030,-,397.2,C1513C6H20Cl2O3,Internal standard,,pyrethroid & phenylpyrazine,Permethrin,,na,,Cl/C(Cl)=C/[C@H]1[C@@H](C1(C)C)C(OCc2cc(O[13C]3=[13CH][13CH]=[13CH][13CH]=[13CH]3)ccc2)=O
Diflubenzuron-d4 (surrogate),90524,90524LCM60,-,-,-,9030,-,314.7,C14H5D4ClF2N2O2,Internal standard,,sulfonylurea & urea,Diflubenzuron,,na,,Fc1c(C(NC(Nc2c([2H])c([2H])c(Cl)c([2H])c2[2H])=O)=O)c(F)ccc1
Diuron-d6 (surrogate),90808,90808LCM60,-,-,-,9030,-,239.1,C9H4D6Cl2N2O,Internal standard,,sulfonylurea & urea,Diuron,,na,,O=C(Nc1cc(Cl)c(Cl)cc1)N(C([2H])([2H])[2H])C([2H])([2H])[2H]
Linuron-d6 (dimethyl-d6) (surrogate),90529,90529LCM60,-,-,-,9030,-,255.1,C9H4D6Cl2N2O2,Internal standard,,sulfonylurea & urea,Linuron,,na,,O=C(Nc1cc(Cl)c(Cl)cc1)N(C([2H])([2H])[2H])OC([2H])([2H])[2H]
Nicosulfuron-d6 (surrogate),90554,90554LCM60,-,-,-,9030,1189419-41-7,416.4,C15H12D6N6O6S,Internal standard,,sulfonylurea & urea,Nicosulfuron,,na,,[2H]C([2H])(Oc1nc(NC(NS(=O)(c2ncccc2C(N(C)C)=O)=O)=O)nc(OC([2H])([2H])[2H])c1)[2H]
Deethylatrazine-d6 (surrogate),90522,90522LCM60,-,-,-,9030,-,193.7,C6H4D6ClN5,Internal standard,,triazine,Atrazine,,na,,Clc1nc(NC(C([2H])([2H])[2H])C([2H])([2H])[2H])nc(NCC)n1
Hexazinone-d6 (surrogate),90527,90527LCM60,-,-,-,9030,-,258.3,C12H14D6N4O2,Internal standard,,triazine,Hexazinone,,na,,O=C(N(C(N1C)=O)C2CCCCC2)N=C1N(C([2H])([2H])[2H])C([2H])([2H])[2H]
Sample volume,3406L,3406LCM060,mL,-,-,3406,-,-,-,-,-,-,-,,na,,-
Note: pesticide group is the name of the active form of pesticide used and provides a way to link pesticide degradates to the active form of pesticide that was used.,,,,,,,,,,,,,,,,,
Note: AnalyteID is the NWIS 5 digit parameter code (eg 90527) combined with the 5 digit  the method code (egLCM60),,,,,,,,,,,,,,,,,
"Note: SMILES (Simplified Molecular-Input Line-Entry System) is a specification in the form of a line notation for describing the structure of molecules using short ASCII strings. SMILES strings can be imported by most molecule editors for conversion back into two-dimensional drawings or three-dimensional models of the molecules (Weininger and others, 1988, O'Boyle, 2012).",,,,,,,,,,,,,,,,,
"Note: Lab codes are used for grouping of analytes in the NWQL LIMS system, and represent ESI+ analytes (9030), ESI- analytes (9031), and sample volume (3406).",,,,,,,,,,,,,,,,,
Note: CASRN in bold appear to be invalid based on checksum,,,,,,,,,Degradate,122,,,A,208,,,
acetochlor OA had incorrect Cas of 184992-44-4,,,,,,,,,Pesticide,118,,,E,21,,,
desulfinyl fipronil has new CASRN.,,,,,,,,,Internal standard,21,,,D,11,,,
,,,,,,,,,Total,261,,,,240,,,
